X,B cell,DC,Fibroblast,ILC,Keratinocytes,Lymphatic endothelium,Macrophage,Mast cell,Melanocyte,Mural cell,Schwann cell,T cell,Vascular endothelium
2x23,0.15157157,0.07951748,0.18263961,0.08802795,0.7648051,0.13878845,0.15762007,0.2768102,0.23833941,0.14912362,0.46054035,0.08541933,0.16339025
40x8,0.26763576,0.15365964,0.0483436,0.092421934,0.65966874,0.06969513,0.15087792,0.21580586,0.056370996,0.043384828,0.25116327,0.067487895,0.21809484
13x38,0.04967622,0.17006634,0.06649169,0.04401431,0.3253119,0.058620155,0.03079428,0.0811048,0.11005791,0.027402032,0.1669559,0.042265072,0.12159169
20x44,0.28894275,0.082944855,0.08577625,0.08659852,0.5396578,0.06306208,0.0445946,0.22525746,0.070770994,0.043988757,0.32941478,0.074061885,0.08705893
13x19,0.15789859,0.3684993,0.27575946,0.21935913,1.2090558,0.12261208,0.14593738,0.51619107,0.23497228,0.14340705,1.1383243,0.114694424,0.07086974
32x26,0.062608615,0.11219354,0.21040979,0.07479049,0.23482047,0.06412743,0.06408518,0.123652995,0.048953544,0.10992739,0.23753534,0.06390962,0.05151567
34x31,0.2543922,0.35302466,0.3832323,0.14429098,1.6416408,0.33651516,0.3285923,0.49360758,0.35307026,0.16480793,1.6573328,0.15190971,0.42191723
41x29,0.052072898,0.03507713,0.08409347,0.046078537,0.33773607,0.022061706,0.11959416,0.1070414,0.04364779,0.027299842,0.09570729,0.033436928,0.026106043
6x26,0.044085078,0.037917137,0.053671237,0.030284371,0.15178132,0.019101445,0.06320304,0.13898142,0.06453384,0.030807633,0.24925436,0.02906807,0.026376268
30x7,0.19898865,0.07878665,0.077005036,0.046191238,0.46083486,0.05850479,0.032237183,0.1560137,0.12041501,0.04156805,0.32791165,0.09206495,0.0619258
